	10080	10144	10166	10171	1029	10339	10547	10604	10609	10685	10836	11456	11735	1188	1189	12315	12412	12420	12427	12512	12577	12800	12807	12888	12916	12953	13236	13248	13280	13669	14181	14260	14367	14676	15003	15081	15181	15213	15267	15354	15384	15467	15468	15469	15474	1552	15540	15541	15567	15698	15863	1623	16231	16269	16432	16434	16435	16505	16585	16669	16845	17010	17132	17179	1785	17873	18052	18083	1809	18511	18551	18665	18773	18807	18900	19132	19558	196	19639	19770	19771	19884	19893	20183	20333	20574	20582	20615	20616	20669	20706	20741	20843	20981	21054	21154	21171	21372	21424	21465	21593	21844	2189	21965	22140	22391	22536	22629	2400	2481	253	256	2717	2732	2796	2884	3068	3313	3349	3421	3521	3580	3804	3864	3931	4407	4449	4463	4516	4776	4814	4836	4969	5148	5250	5350	5612	5723	654	6868	6943	7129	7132	7259	7369	7379	7435	7531	7672	8140	825	827	8287	8456	8460	8464	8677	9298	9368	9511	9536	969	9865	
FG009	a	a	b	b	b	a	ab	b	b	-	ab	b	-	b	a	b	a	a	ab	a	b	b	ab	a	ab	b	a	ab	b	b	b	b	-	-	b	b	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	ab	b	ab	ab	a	a	ab	ab	ab	ab	a	b	a	a	a	ab	b	b	ab	b	b	a	ab	a	a	b	ab	b	a	a	b	a	b	ab	b	b	b	b	a	a	b	b	b	b	b	b	b	b	b	b	a	ab	b	a	a	-	a	b	a	b	a	a	a	a	a	a	b	b	b	ab	a	a	a	b	a	b	a	b	ab	ab	ab	a	a	b	b	b	ab	b	ab	b	b	b	-	ab	a	b	ab	a	b	b	a	a	ab	b	b	b	b	a	ab	a	ab	-	b	b	a	
FG001	a	a	b	b	b	a	b	a	ab	-	a	b	-	b	a	b	a	ab	a	b	b	b	ab	a	ab	b	a	a	b	b	b	b	-	-	b	b	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	ab	ab	ab	b	a	a	ab	ab	ab	a	a	b	a	a	a	ab	b	b	ab	b	b	a	ab	a	a	b	ab	b	a	a	b	a	b	ab	b	b	b	b	a	a	b	b	b	b	b	b	b	b	b	b	a	ab	b	a	a	-	a	b	a	b	a	a	a	ab	a	a	b	b	b	a	a	a	a	b	a	b	a	ab	a	b	ab	ab	a	a	b	ab	a	b	ab	b	b	b	-	ab	a	b	b	a	b	b	a	ab	ab	b	b	a	b	ab	ab	a	a	-	b	ab	a	
FG004	a	a	ab	b	b	a	ab	ab	ab	-	ab	b	-	b	a	b	a	a	a	a	b	b	ab	a	ab	b	a	ab	b	b	b	b	-	a	b	b	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	ab	b	ab	b	a	a	ab	ab	ab	a	a	b	a	a	a	ab	b	b	a	b	b	a	b	a	a	b	ab	b	a	a	ab	a	b	a	b	b	b	b	a	ab	a	b	b	b	b	b	ab	b	b	b	ab	ab	b	a	a	-	a	b	a	ab	a	a	a	ab	a	a	b	b	a	a	a	ab	a	b	a	ab	a	ab	a	b	a	a	a	ab	b	ab	a	b	b	b	b	b	-	ab	a	b	b	a	b	b	a	a	ab	b	b	b	b	a	ab	a	a	-	b	ab	a	
FG011	a	a	b	b	b	ab	ab	ab	b	a	a	b	-	b	a	b	a	a	a	b	b	b	b	a	ab	b	a	ab	b	b	b	b	-	-	b	ab	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	ab	b	ab	b	a	ab	ab	ab	ab	a	a	b	a	a	a	ab	b	ab	a	b	b	a	ab	a	a	b	ab	b	a	a	b	a	b	a	b	b	b	b	a	a	b	b	b	b	b	b	b	b	b	b	ab	a	b	a	a	-	a	b	a	b	a	a	a	a	a	a	b	ab	b	a	a	ab	a	b	a	b	a	b	a	b	a	a	a	b	b	ab	a	b	a	b	b	b	-	ab	a	b	ab	a	b	b	a	a	ab	b	b	a	b	a	ab	a	a	-	b	b	a	
FG003	a	ab	ab	b	b	a	b	a	b	-	a	b	-	b	a	b	a	ab	a	ab	ab	b	ab	a	ab	ab	a	ab	ab	b	b	b	-	-	ab	b	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	ab	b	ab	b	a	a	ab	ab	ab	a	a	b	a	a	a	ab	b	b	a	-	b	a	b	a	a	b	ab	b	a	a	b	a	b	a	b	b	b	b	a	ab	b	b	ab	b	b	b	b	b	b	b	a	ab	b	a	a	-	a	b	a	b	ab	a	a	ab	a	a	b	b	b	a	a	b	a	ab	a	b	a	b	a	b	a	a	a	a	b	ab	a	b	a	ab	ab	b	-	ab	a	b	ab	a	b	b	a	ab	ab	b	ab	b	ab	a	ab	a	a	-	b	b	ab	
FG005	a	a	b	b	b	a	b	ab	b	-	a	b	-	b	a	b	a	a	a	ab	b	b	ab	a	ab	b	a	ab	b	b	b	b	-	-	b	ab	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	ab	b	ab	b	a	a	ab	ab	ab	a	a	ab	a	a	a	ab	b	b	a	-	b	a	ab	a	a	b	ab	b	a	a	b	a	b	a	b	b	b	b	a	a	ab	b	b	b	b	b	b	b	b	b	a	ab	b	a	ab	-	a	b	a	ab	a	a	a	ab	a	a	ab	ab	b	ab	a	a	a	b	a	ab	a	b	a	b	ab	a	ab	ab	b	b	a	b	b	b	b	b	-	ab	a	b	b	a	b	b	a	ab	ab	b	b	ab	b	a	ab	a	a	-	b	ab	a	
FG002	a	ab	ab	b	b	ab	ab	ab	ab	-	a	b	-	b	a	b	a	a	a	ab	b	b	ab	a	ab	b	a	a	b	b	b	b	-	a	b	a	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	b	b	ab	b	a	a	ab	ab	ab	a	a	b	a	ab	a	ab	b	b	a	-	b	a	ab	a	a	b	ab	b	a	a	b	a	b	a	b	b	b	b	a	ab	ab	b	b	b	b	b	b	b	b	b	ab	ab	b	a	a	-	a	b	a	ab	ab	a	a	ab	a	a	b	b	b	ab	a	a	a	ab	a	b	a	ab	a	ab	ab	a	a	ab	b	ab	a	b	ab	b	b	b	-	ab	a	ab	b	a	b	b	ab	ab	ab	b	b	ab	ab	a	ab	ab	ab	-	b	ab	a	
FG006	a	a	ab	b	b	a	a	b	b	-	a	b	-	b	a	b	a	ab	a	a	b	ab	ab	a	ab	b	a	ab	b	b	b	b	-	-	b	a	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	b	b	ab	b	a	a	ab	ab	ab	a	a	b	a	a	a	ab	b	b	ab	b	b	a	a	ab	a	b	ab	b	a	a	b	a	b	ab	ab	b	b	b	a	ab	ab	b	b	b	b	b	b	b	ab	b	a	ab	b	a	a	-	a	b	a	b	a	ab	a	ab	a	a	b	b	b	ab	a	a	a	b	a	ab	a	b	a	ab	ab	a	a	ab	b	ab	a	b	ab	b	b	b	-	ab	a	b	b	a	b	b	a	ab	ab	b	b	ab	a	a	ab	a	a	-	ab	b	a	
FG033	a	a	ab	b	b	ab	b	a	ab	-	a	b	-	b	ab	b	a	b	a	b	b	b	ab	a	ab	b	a	ab	b	b	b	b	-	-	b	a	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	b	b	ab	b	a	a	ab	ab	ab	a	a	b	a	a	a	ab	b	b	a	b	b	a	b	a	a	b	ab	b	a	a	b	a	b	ab	b	b	b	b	a	ab	b	b	b	b	b	b	b	b	b	b	ab	ab	b	a	a	-	a	b	a	b	a	ab	a	a	a	a	b	b	b	a	a	ab	a	b	a	b	a	b	a	b	ab	a	b	b	b	b	a	b	ab	b	b	ab	-	ab	a	b	ab	a	b	b	a	a	ab	b	ab	b	ab	a	ab	a	a	-	ab	ab	a	
FG013	a	a	ab	b	b	a	ab	b	b	-	a	b	-	b	a	b	a	a	a	ab	b	b	ab	a	ab	b	a	ab	b	b	b	b	-	-	b	ab	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	b	b	ab	b	ab	a	ab	ab	ab	a	a	ab	a	a	a	ab	b	b	a	b	b	a	ab	a	a	ab	ab	b	a	a	b	a	ab	ab	b	b	ab	b	a	a	b	ab	b	b	b	b	b	b	ab	b	a	ab	b	a	a	-	ab	b	a	b	ab	a	a	b	a	a	b	b	b	a	a	ab	a	ab	a	b	a	b	a	ab	ab	a	a	ab	b	b	a	b	ab	b	b	b	-	ab	a	b	b	a	b	b	a	a	ab	b	b	b	a	a	ab	a	a	-	b	b	a	
FG007	a	a	ab	b	b	a	b	b	ab	-	a	b	-	b	a	b	a	a	ab	ab	b	b	ab	a	ab	b	a	a	b	b	b	b	-	a	b	ab	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	ab	ab	ab	ab	a	a	ab	ab	ab	a	a	b	a	a	a	ab	b	b	a	b	b	a	a	a	a	b	ab	b	a	a	b	a	b	ab	b	b	b	b	a	a	ab	b	b	b	b	b	b	b	b	b	ab	ab	b	a	a	-	a	b	a	ab	a	ab	a	a	a	a	b	b	b	a	a	ab	a	b	a	b	a	ab	ab	b	a	a	a	ab	b	b	a	b	b	b	b	b	-	ab	a	b	b	a	b	b	a	a	ab	ab	b	ab	ab	a	ab	a	a	-	ab	ab	a	
FG014	a	a	b	b	b	a	a	a	b	a	a	b	-	b	ab	b	a	ab	a	a	b	b	ab	a	ab	b	a	ab	b	b	b	b	-	a	b	ab	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	ab	b	ab	b	a	a	ab	ab	ab	a	a	b	a	a	a	ab	b	b	ab	b	b	ab	b	a	a	b	ab	b	a	a	b	a	b	ab	b	b	b	b	a	a	b	b	b	b	b	b	b	b	b	ab	a	ab	b	a	ab	b	a	b	a	b	a	b	a	ab	a	a	b	b	b	a	a	a	a	b	a	b	a	b	a	ab	ab	a	a	b	b	ab	a	b	ab	b	b	b	-	ab	a	b	b	a	b	b	a	a	ab	b	b	ab	b	a	ab	a	ab	-	a	b	a	
FG027	a	a	ab	b	b	a	ab	ab	b	-	a	b	-	b	a	b	a	a	a	ab	b	b	ab	ab	ab	b	a	a	b	b	b	b	-	-	b	b	a	ab	b	a	a	ab	ab	ab	ab	b	ab	ab	ab	b	ab	b	a	a	ab	ab	ab	a	a	b	a	a	a	ab	b	b	a	b	b	a	ab	a	a	b	ab	ab	a	a	b	a	b	ab	b	b	b	b	a	a	b	ab	b	b	b	b	b	b	b	b	a	ab	b	a	a	-	a	b	a	b	a	ab	a	b	a	a	b	b	b	ab	a	a	a	ab	a	b	a	ab	ab	b	a	a	a	a	b	a	a	b	ab	b	b	b	-	ab	a	ab	b	a	b	b	a	a	ab	b	b	ab	ab	a	ab	a	a	-	ab	a	a	
FG019	ab	ab	b	b	b	ab	b	ab	b	-	a	b	-	b	a	b	a	a	a	ab	b	b	ab	a	ab	b	ab	a	b	b	b	b	-	-	ab	b	a	b	ab	a	a	ab	ab	ab	ab	b	ab	ab	ab	ab	ab	b	ab	a	a	ab	ab	a	a	b	a	a	a	ab	b	b	a	-	b	a	ab	a	a	b	ab	b	a	a	b	ab	b	b	b	b	b	b	a	a	b	b	b	b	ab	b	b	b	b	b	a	ab	b	a	a	-	a	b	a	b	a	a	ab	b	a	a	b	b	b	a	a	a	a	b	a	b	a	ab	a	ab	a	a	a	ab	b	b	a	b	ab	b	b	b	-	b	a	a	b	a	b	b	a	a	ab	b	b	ab	a	a	ab	a	ab	-	b	ab	a	
FG015	a	a	b	a	b	a	a	ab	b	-	a	b	-	b	a	b	ab	a	a	ab	b	b	ab	a	ab	b	ab	a	b	b	b	b	-	-	ab	b	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	b	ab	ab	b	a	a	ab	ab	ab	a	a	b	a	a	a	ab	b	ab	a	-	b	a	b	a	a	b	ab	b	a	a	b	a	b	a	b	b	b	b	a	ab	ab	b	b	b	ab	b	b	b	b	ab	ab	ab	b	a	a	-	a	b	a	b	a	a	a	ab	a	a	b	b	b	ab	a	ab	a	b	a	b	a	ab	a	ab	a	a	a	ab	b	b	a	b	a	b	b	b	-	ab	a	b	b	a	b	b	a	a	ab	b	b	ab	ab	a	ab	a	ab	-	b	b	a	
FG026	a	a	b	b	b	b	ab	ab	ab	-	a	b	-	b	a	b	a	a	a	ab	b	b	ab	a	ab	b	a	a	b	b	b	b	-	-	b	ab	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	ab	b	ab	b	a	a	ab	ab	ab	a	a	ab	a	a	a	ab	b	a	a	-	b	a	ab	a	a	b	ab	b	a	a	b	a	b	ab	b	b	ab	b	a	b	b	b	b	b	b	b	b	b	b	b	a	a	b	a	a	-	a	b	a	b	a	a	ab	ab	a	a	b	b	b	a	a	ab	a	b	a	ab	a	b	a	b	a	a	a	b	b	b	a	b	ab	ab	b	b	-	ab	a	ab	b	a	b	b	a	a	ab	ab	b	ab	ab	a	ab	a	ab	-	b	ab	a	
FG031	a	a	a	b	b	a	ab	ab	b	-	a	b	-	b	a	b	a	a	a	a	b	b	ab	a	ab	b	a	ab	b	b	b	b	-	-	ab	b	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	b	b	ab	b	a	a	ab	ab	ab	a	a	b	a	a	a	ab	b	b	a	-	b	a	ab	a	a	b	ab	b	a	a	b	a	b	a	b	b	b	b	a	a	b	b	b	b	b	b	b	b	b	b	ab	ab	b	a	a	-	a	b	a	-	a	a	a	a	a	a	ab	b	b	a	a	b	a	b	a	b	a	b	a	ab	ab	a	a	a	b	a	a	b	a	b	b	b	-	ab	a	b	b	a	b	b	a	a	ab	b	ab	ab	b	a	ab	a	ab	-	b	ab	a	
FG017	a	ab	ab	b	b	a	ab	a	b	-	ab	b	-	b	ab	b	a	ab	a	ab	b	b	ab	a	ab	b	a	a	b	b	b	b	-	a	b	ab	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	b	b	ab	b	a	a	ab	ab	ab	a	a	b	a	a	a	ab	b	b	b	-	b	a	b	a	a	b	ab	ab	a	a	b	a	b	a	b	b	b	b	a	a	b	b	b	b	b	b	b	b	b	b	ab	ab	b	a	a	-	a	ab	a	b	a	a	a	ab	a	a	b	b	b	a	a	ab	a	b	a	b	a	ab	b	ab	a	a	ab	a	b	b	a	b	ab	b	b	b	-	ab	a	ab	b	a	b	b	a	a	ab	b	ab	a	b	ab	ab	a	a	-	ab	b	a	
FG010	a	ab	ab	b	b	a	ab	ab	b	-	ab	b	-	b	a	b	a	ab	a	b	b	b	ab	a	ab	b	ab	a	b	b	b	b	-	a	b	b	a	ab	b	a	a	ab	ab	ab	ab	b	ab	ab	ab	b	ab	b	a	a	ab	ab	ab	a	a	b	a	a	a	ab	b	b	a	b	b	a	b	a	a	b	ab	b	a	a	b	a	b	ab	b	b	b	b	a	ab	b	b	b	b	b	b	b	b	b	b	a	a	b	a	a	-	a	b	a	b	a	a	a	ab	a	a	b	b	b	a	a	a	a	b	a	b	a	b	a	b	ab	a	a	a	b	b	a	b	a	b	b	b	-	ab	a	ab	b	a	b	b	a	a	ab	b	b	b	b	a	ab	a	ab	-	b	b	a	
FG021	a	a	ab	b	b	a	b	a	b	-	a	b	-	b	a	b	a	a	ab	a	ab	b	ab	a	ab	b	a	ab	b	b	b	b	-	-	b	b	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	ab	b	ab	b	a	a	-	ab	ab	a	a	b	a	a	ab	ab	b	b	a	-	b	a	ab	a	a	b	ab	b	a	a	b	a	b	b	b	b	b	b	a	a	b	b	b	b	b	b	b	b	b	b	a	ab	b	a	a	-	a	b	ab	-	ab	ab	a	ab	a	a	b	b	ab	ab	a	ab	a	b	a	b	a	b	a	b	a	a	a	ab	b	b	a	b	a	b	b	b	-	ab	a	ab	b	a	b	b	a	a	ab	b	b	ab	ab	a	ab	a	a	-	ab	b	a	
FG024	a	a	a	b	b	a	a	a	ab	-	a	b	-	b	a	b	a	ab	a	a	ab	b	ab	a	ab	ab	a	a	ab	b	b	b	-	a	ab	b	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	b	b	ab	b	a	a	ab	ab	ab	a	a	b	a	a	a	ab	b	ab	a	b	b	a	b	a	a	b	ab	b	a	a	b	a	b	b	b	b	b	b	a	a	b	b	b	b	b	b	b	b	b	b	a	ab	b	a	a	-	a	b	ab	b	a	a	a	b	a	a	b	b	b	a	a	ab	a	ab	a	b	a	ab	a	b	ab	a	a	b	b	b	a	ab	ab	b	b	ab	-	ab	a	ab	b	a	b	b	ab	a	ab	b	b	b	ab	a	ab	ab	a	-	a	b	a	
FG032	ab	a	ab	b	b	a	b	ab	b	-	a	b	-	b	a	b	a	a	a	b	b	b	ab	a	ab	b	a	ab	b	b	b	b	-	a	b	b	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	ab	b	ab	b	a	ab	ab	ab	ab	a	a	b	a	a	a	ab	ab	b	ab	-	b	a	ab	a	a	b	ab	b	a	a	b	a	b	ab	b	b	b	b	a	ab	ab	b	b	b	b	b	b	ab	b	b	a	ab	b	a	a	-	a	b	a	-	a	a	a	ab	a	a	b	b	b	a	a	ab	ab	b	a	b	a	b	ab	b	a	a	a	b	b	b	a	b	ab	b	b	b	-	ab	a	ab	b	a	b	b	a	a	ab	b	b	a	ab	a	ab	ab	a	-	ab	ab	a	
FG018	a	ab	b	b	b	a	ab	ab	ab	-	a	b	-	b	a	b	a	a	ab	b	b	b	ab	a	ab	b	a	a	b	b	b	b	-	a	b	b	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	ab	b	ab	b	a	a	-	ab	ab	a	a	b	a	a	a	ab	b	b	a	b	b	a	b	a	a	b	ab	b	ab	a	b	a	b	ab	b	b	b	b	a	a	b	b	b	b	ab	b	b	b	b	b	a	ab	b	a	a	-	a	b	a	-	a	ab	a	ab	a	a	b	b	b	a	a	ab	a	b	a	b	ab	b	ab	b	ab	a	a	b	b	b	a	b	a	b	b	b	-	ab	a	ab	b	a	b	b	a	a	ab	b	b	b	ab	a	ab	a	a	-	a	b	a	
FG034	a	a	a	b	b	ab	b	a	b	-	a	b	-	b	a	b	a	b	ab	a	ab	b	ab	a	ab	b	a	ab	b	b	b	b	-	-	b	a	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	ab	b	ab	b	a	a	ab	ab	ab	a	a	b	a	a	a	ab	b	ab	ab	-	b	a	b	a	a	b	ab	b	a	a	ab	a	b	b	ab	b	b	b	a	ab	ab	b	b	b	ab	b	b	b	b	b	a	ab	b	a	a	-	a	b	a	b	a	a	a	ab	a	a	b	b	b	ab	a	ab	a	b	a	b	a	b	a	b	ab	a	ab	ab	b	b	a	b	ab	b	b	b	-	ab	a	b	b	a	b	b	a	a	ab	b	b	ab	ab	a	ab	a	a	-	b	b	a	
FG016	a	ab	ab	b	b	ab	ab	b	b	-	a	b	-	b	a	b	a	a	a	b	b	b	ab	a	ab	b	a	ab	b	b	b	b	-	-	b	b	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	b	b	ab	b	a	a	ab	ab	ab	a	a	b	a	ab	a	ab	b	ab	ab	-	b	a	ab	a	a	b	ab	b	a	a	b	a	ab	b	b	b	b	b	a	ab	b	b	b	b	b	b	b	b	b	b	ab	ab	b	a	a	-	a	b	a	b	a	ab	a	ab	a	a	b	b	b	a	a	ab	a	b	a	ab	a	b	ab	ab	a	a	a	b	b	b	a	b	b	b	b	b	-	ab	a	b	b	a	b	b	a	a	ab	b	ab	ab	ab	a	ab	a	ab	-	ab	b	a	
FG035	a	a	ab	b	b	a	ab	b	b	-	a	b	-	b	a	b	a	a	a	b	b	b	ab	ab	ab	b	a	a	b	b	b	b	-	-	b	b	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	ab	b	ab	b	a	a	ab	ab	ab	ab	a	b	a	a	ab	ab	b	b	a	b	b	a	ab	a	a	b	ab	b	a	a	b	a	b	a	ab	b	b	b	a	ab	ab	b	b	b	b	b	b	b	b	ab	a	ab	b	a	a	b	a	b	a	b	a	ab	a	b	a	a	b	b	b	a	a	ab	a	b	a	b	a	ab	ab	b	a	a	a	a	b	ab	a	b	ab	b	b	b	-	b	a	ab	b	a	b	b	a	a	ab	b	ab	ab	a	a	ab	a	a	-	b	b	a	
FG102_A	a	a	b	b	b	ab	b	b	b	-	a	b	-	b	a	b	ab	a	a	ab	b	b	ab	a	ab	b	a	ab	b	ab	b	b	-	-	ab	a	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	ab	b	ab	b	a	a	ab	ab	ab	a	a	b	a	a	a	ab	b	b	b	-	b	a	a	a	a	b	ab	b	a	a	b	a	b	a	b	b	b	b	a	a	b	b	b	b	b	b	b	b	b	b	a	a	b	a	a	b	a	b	a	b	a	a	a	ab	a	a	b	b	b	a	a	a	a	ab	a	b	a	b	a	ab	ab	a	a	ab	b	b	a	b	a	b	b	b	-	ab	a	ab	b	ab	b	b	a	a	ab	b	ab	ab	a	a	ab	a	a	-	b	a	a	
FG102_B	a	a	b	b	b	ab	b	b	b	-	a	b	-	b	a	b	ab	a	a	ab	b	b	ab	a	ab	b	a	ab	b	ab	b	b	-	-	ab	a	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	ab	b	ab	b	a	a	ab	ab	ab	a	a	b	a	a	a	ab	b	b	b	-	b	a	a	a	a	b	ab	b	a	a	b	a	b	a	b	b	b	b	a	a	b	b	b	b	b	b	b	b	b	b	a	a	b	a	a	b	a	b	a	ab	a	a	a	ab	a	a	b	b	b	a	a	a	a	ab	a	b	a	b	a	ab	ab	a	a	ab	b	b	a	b	a	b	b	b	-	ab	a	ab	b	ab	b	b	a	a	ab	b	ab	ab	a	a	ab	a	ab	-	b	a	a	
FG100_B	a	a	ab	b	ab	a	ab	ab	b	a	a	b	-	b	a	b	a	a	a	ab	b	b	ab	a	ab	b	a	a	b	b	b	b	-	a	b	ab	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	ab	b	ab	b	a	a	ab	ab	ab	a	a	b	a	ab	a	ab	b	b	a	-	b	a	ab	a	a	b	ab	b	a	a	b	a	b	ab	b	b	b	b	a	ab	b	b	b	b	b	b	b	b	b	b	a	ab	b	a	a	-	a	b	a	b	ab	a	a	ab	a	a	ab	b	b	ab	a	a	a	b	a	b	a	ab	a	b	a	a	ab	ab	b	b	a	b	ab	b	b	b	-	ab	a	ab	b	a	b	ab	a	a	ab	b	b	a	ab	a	ab	a	a	-	ab	ab	a	
FG101_A	a	a	ab	b	ab	a	b	ab	a	-	a	b	-	ab	a	b	ab	a	a	b	b	b	ab	a	ab	b	a	ab	b	b	b	b	-	-	b	ab	a	ab	b	a	a	ab	ab	ab	ab	b	ab	ab	ab	b	ab	b	a	a	ab	ab	ab	a	a	b	a	a	a	ab	b	b	a	-	b	b	ab	a	ab	ab	ab	b	a	a	b	a	b	b	b	b	b	b	a	ab	b	b	ab	b	ab	b	b	b	b	b	a	ab	b	a	a	-	a	ab	a	b	a	a	a	ab	a	a	b	b	b	a	a	a	a	b	a	b	a	ab	a	b	ab	a	a	b	ab	ab	a	b	ab	b	b	b	-	ab	a	b	b	a	ab	b	a	a	ab	b	b	ab	ab	a	ab	a	a	-	a	ab	a	
FG101_B	a	a	ab	b	ab	a	b	ab	a	-	a	b	-	ab	a	b	a	a	a	b	b	b	ab	a	ab	b	a	ab	b	b	b	b	-	-	b	ab	a	ab	b	a	a	ab	ab	ab	ab	b	ab	ab	ab	b	ab	b	a	a	ab	ab	ab	a	a	b	a	a	a	ab	b	b	a	-	b	b	ab	a	ab	ab	ab	b	a	a	b	a	b	b	b	b	b	b	a	ab	b	b	ab	b	b	b	b	b	b	b	a	ab	b	a	a	-	a	b	a	b	ab	a	a	ab	a	a	b	b	b	a	a	a	a	b	a	b	a	ab	a	b	ab	a	a	b	ab	ab	a	b	ab	b	b	b	-	ab	a	b	b	a	ab	b	a	a	ab	b	b	ab	ab	ab	ab	a	a	-	a	ab	a	
FG111	ab	a	ab	b	b	b	ab	ab	b	-	a	b	-	b	a	b	a	ab	a	ab	b	b	ab	a	ab	b	a	ab	b	b	b	b	-	a	b	b	a	ab	b	a	a	ab	ab	ab	ab	b	ab	ab	ab	b	ab	b	a	a	-	ab	ab	a	a	b	a	a	a	ab	b	b	ab	b	b	a	ab	ab	a	b	ab	b	a	a	b	a	b	ab	b	b	b	b	ab	a	b	b	b	b	b	b	b	b	b	b	a	ab	b	a	a	-	a	ab	a	b	a	ab	a	ab	a	a	b	b	b	a	a	ab	a	ab	a	b	a	b	a	b	ab	a	a	ab	b	b	a	b	a	b	b	b	-	ab	a	ab	b	a	b	b	a	a	ab	b	b	ab	b	a	ab	a	a	-	ab	ab	a	
FG104_A	a	a	b	b	b	a	a	a	ab	-	a	b	-	b	a	b	a	a	a	ab	b	b	ab	a	ab	b	ab	a	b	b	b	b	-	a	b	ab	a	b	b	a	a	ab	ab	ab	ab	b	ab	ab	b	b	ab	b	a	a	-	ab	ab	a	a	b	ab	a	a	ab	b	b	ab	b	b	a	ab	a	a	b	ab	b	a	a	b	a	b	a	b	ab	b	b	a	a	b	b	b	b	b	b	b	ab	b	b	ab	ab	b	a	a	-	a	b	a	b	a	a	ab	a	a	a	b	b	b	ab	a	ab	a	b	a	b	a	ab	ab	ab	ab	a	a	ab	b	ab	a	b	ab	b	b	b	-	ab	ab	ab	ab	a	b	b	a	a	ab	b	ab	ab	ab	a	ab	a	ab	-	ab	b	a	
