sample,FG001,FG002,FG003,FG004,FG005,FG006,FG007,FG009,FG010,FG011,FG013,FG014,FG015,FG016,FG017,FG018,FG019,FG021,FG024,FG026,FG027,FG031,FG032,FG033,FG034,FG035,FG100_B,FG101_B,FG102_B,FG103_B,FG104_B,FG106,FG107,FG108,FG109,FG111,FG201,FG202,FG203,FG204,FG205,FG206,FG207,FG209,FG210,FG211,FG212,Q314,Q316,Q318,Q323,Q324,Q325,Q326,Q330,Q332,Q334,Q338,Q339,Q347,Q351,Q352,Q353,Q354,Q355,Q356
6,0101,0101,0101,0101,0109,0101,0000,0101,0101,0000,0404,0101,0106,0000,0101,0101,0101,0106,0000,0101,0101,0109,0101,0106,0101,0000,0101,0101,0101,0304,0109,0109,0101,0107,0101,0107,0101,0406,0101,0101,0101,0101,0101,0108,0101,0101,0101,0101,0101,0101,0109,0101,0101,0101,0107,0101,0101,0101,0105,0101,0101,0107,0101,0108,0102,0101
13,0505,0505,0505,0505,0505,0505,0505,0507,0505,0505,0506,0505,0000,0000,0000,0505,0505,0505,0000,0505,0507,0507,0505,0507,0505,0506,0505,0505,0505,0505,0505,0506,0505,0505,0505,0305,0507,0505,0505,0507,0505,0505,0505,0404,0505,0507,0000,0505,0505,0505,0505,0505,0505,0707,0506,0505,0607,0505,0505,0505,0505,0505,0505,0505,0207,0707
16,0707,0707,0711,0000,0707,0407,0707,0707,0707,0707,0207,0711,1111,0707,0000,0411,0404,0707,0707,0000,0507,0000,0707,0101,0000,0607,0711,0709,0707,0707,0707,0707,0707,0707,0707,0707,0711,0707,0710,1111,0404,0808,0707,1111,0707,0707,1111,0707,0000,0606,0407,0711,0707,0707,0000,0707,0707,0000,0107,0707,0000,1111,0404,0303,0707,0707
20,0611,0606,0505,0606,0606,0606,0618,0101,0606,0606,0606,0608,0606,0506,0606,0505,0000,0618,0000,0606,0000,0505,0611,0606,0000,0506,0606,0606,0606,0606,0607,0606,1818,0000,0506,0618,0606,0505,1414,0606,0615,0606,0000,0611,0506,1616,1717,1111,0405,0206,0606,0506,0609,0606,0606,0909,0606,1010,0616,0606,0606,0506,0505,0610,1313,0606
22,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0000,0303,0303,0303,0303,0303,0303,0000,0303,0303,0303,0303,0303,0303,0303,0103,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0103,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0203,0303,0303,0303,0303,0303
27,0707,0710,0107,0607,0707,0707,0707,0507,0707,0707,0708,0710,0707,1010,0000,0710,0707,0710,0707,0707,0707,0707,0707,0107,0707,0708,0707,0707,0708,0307,0710,0707,0710,0000,0708,0107,0707,0110,0404,0707,0707,0707,0707,0707,0810,0710,0710,0707,0111,0708,0000,0707,0707,0707,0710,0207,0707,0708,0710,0707,0710,0710,0000,0707,0707,0707
28,0202,0202,0202,0202,0202,0102,0202,0202,0202,0000,0202,0203,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0205,0202,0202,0202,0204,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202,0202
31,0405,0406,0205,0404,0404,0204,0404,0204,0205,0405,0404,0404,0404,0405,0405,0405,0405,0404,0404,0404,0304,0204,0404,0404,0000,0404,0404,0404,0404,0404,0405,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0405,0404,0404,0404,0404,0404,0404,0404,0204,0404,0404,0404,0404,0404,0405,0404,0404,0404,0406,0405,0104,0000,0404,0404,0404
35,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0000,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0102,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101,0101
50,0609,0609,0606,0606,0306,0606,0606,0607,0609,0606,0606,0606,0000,0000,0606,0000,0609,0606,0606,0606,0606,0606,0000,0606,0606,0606,0606,0206,0606,0406,0606,0606,0613,0606,0617,0000,0608,0611,0106,0616,0612,0606,0606,0606,0606,0106,0606,0606,0000,1313,0617,0606,0606,0606,0606,0606,0606,0606,0606,0615,0917,0606,0606,0606,0506,0606
